Code,Barcode,Omschrijving,Aantal
"08260,0702633082605,""Plantensteun recht - 6 mm"",50"
"08261,0702633082612,""Plantensteun recht - 6 mm"",50"
"08262,0702633082629,""Plantensteun recht - 6 mm"",50"
"09101,0702633091010,""Grondpin standaard - 7 mm"",15"
"09102,0702633091027,""Grondpin standaard - 7 mm"",15"
"09103,0702633091034,""Grondpin standaard - 7 mm"",15"
"09104,0702633091041,""Grondpin standaard - 7 mm"",15"
"09105,0702633091058,""Grondpin standaard - 7 mm"",15"
"09111,0702633091119,""Grondpin deco kubus - 7 mm"",10"
"09112,0702633091126,""Grondpin deco druppel - 7 mm"",10"
"09210,0702633092109,""Steunring rond"",15"
"09211,0702633092116,""Steunring rond"",15"
"09212,0702633092123,""Steunring rond"",15"
"09214,0702633092147,""Steunring rond"",15"
"09216,0702633092161,""Steunring rond"",15"
"09217,0702633092178,""Steunring rond"",15"
"09219,0702633092192,""Steunring rond geschulpt"",15"
"09220,0702633092208,""Steunring rond geschulpt"",15"
"09222,0702633092222,""Steunring ½-rond"",15"
"09223,0702633092239,""Steunring ½-rond"",15"
"09224,0702633092246,""Steunring ½-rond"",15"
"09225,0702633092253,""Steunring ½-rond geschulpt"",15"
"09230,0702633092307,""Steunring 1/3-rond"",15"
"09251,0702633092512,""Steunring centrisch rond"",15"
"09252,0702633092529,""Steunring centrisch rond"",15"
"09261,0702633092611,""Borderrand recht"",15"
"09273,0702633092734,""Borderrand geschulpt"",15"
"09283,0702633092833,""Groeiraster rechthoekig"",5"
"09284,0702633092840,""Groeiraster rond"",5"
"09285,0702633092857,""Groeiraster rond"",5"
"09286,0702633092864,""Groeiraster rond"",5"
"09287,0702633092871,""Groeiraster recht geschulpt"",5"
"09288,0702633092888,""Groeiraster rond geschulpt"",5"
"09291,0702633092918,""Groeiraster centrisch rond"",5"
"09292,0702633092925,""Groeiraster centrisch rond"",5"
"09293,0702633092932,""Groeiraster centrisch geschulpt"",5"
"09294,0702633092949,""Raster voor hortensia Annabelle rond"",5"
"09295,0702633092956,""Raster umbrella flower"",5"
"09298,0702633092987,""Raster voor hortensia Annabelle vierkant"",5"
"15201,0702633152018,""S-haak, groen"",10"
"09400,0702633094004,""Standaard koppelstukje - 7 mm / 4 stuks"",10"
"09407,0702633094073,""Twister koppelstukje - 7 mm / 4 stuks"",10"
"09408,0702633094080,""6-Gats koppelstukje - 7 mm / 2 stuks"",10"
"10502,0702633105021,""Pinnups solarlampje"",3"
"10671,0702633106714,""Voederbolletje appelvorm"",3"
"10695,0702633106950,""Regenmeter Peacock met ring"",3"
"10701,0702633107018,""Regenmeter conisch op houder"",8"
"11100,0702633111008,""Glasfiber grondpin - 8 mm"",15"
"11101,0702633111015,""Glasfiber grondpin - 8 mm"",15"
"11102,0702633111022,""Glasfiber grondpin - 8 mm"",15"
"11103,0702633111039,""Glasfiber grondpin - 8 mm"",15"
"11200,0702633112005,""Glasfiber steunring"",15"
"11201,0702633112012,""Glasfiber steunring"",15"
"11202,0702633112029,""Glasfiber steunring, buigzaam"",15"
"11203,0702633112036,""Glasfiber steunring, buigzaam"",15"
"11400,0702633114009,""Standaard koppelstukje - 8 mm / 4 stuks"",10"
"11408,0702633114085,""Twister koppelstukje - 8 mm / 4 stuks"",10"
"11418,0702633114184,""6-Gats koppelstukje - 8 mm / 2 stuks"",10"
"11421,0702633114214,""Muurbevestiging + koppelstukje / 2 stuks"",10"
"11450,0702633114504,""Naambordje / 4 st. incl 10 wisselplaatjes"",10"
"11451,0702633114511,""Glasfiber-pins - 8 mm / 4 stuks"",10"
"12103,0702633121038,""Maxi grondpin - 9 mm"",10"
"12104,0702633121045,""Maxi grondpin - 9 mm"",10"
"12105,0702633121052,""Maxi grondpin - 9 mm"",10"
"12400,0702633124008,""Standaard koppelstukje - 9 mm / 4 stuks"",10"
"12409,0702633124091,""""""Twister"""" koppelstukje - 9 mm / 4 stuks"",10"
"12419,0702633124190,""6-Gats koppelstukje - 9 mm / 2 stuks"",10"
"13541,0702633135417,""Kokosstok naturel 40 mm"",6"
"13542,0702633135424,""Kokosstok naturel 40 mm"",6"
"13543,0702633135431,""Kokosstok naturel 40 mm"",6"
"13631,0702633136315,""Kokosstok groen 40 mm"",6"
"13632,0702633136322,""Kokosstok groen 40 mm"",6"
"13633,0702633136339,""Kokosstok groen 40 mm"",6"
"13721,0702633137213,""Kokosstok naturel 60 mm"",6"
"13722,0702633137220,""Kokosstok naturel 60 mm"",6"
"13723,0702633137237,""Kokosstok naturel 60 mm"",6"
"13811,0702633138111,""Kokosstok groen 60 mm"",6"
"13812,0702633138128,""Kokosstok groen 60 mm"",6"
"13813,0702633138135,""Kokosstok groen 60 mm"",6"
"14101,0702633141012,""Plantenstaak 8 mm"",50"
